column,start,length
transaction_date,0,5
corporation_number,5,8
incorporation_date,13,8
corporation_status,21,1
corporation_type,22,4
corporation_tax_base,26,1
corporation_classification,27,2
filler,29,11
term_expiration_date,40,8
ftb_suspension_status,48,1
ftb_suspension_date,49,8
so_file_number,57,7
so_file_date,64,6
corporation_name,70,350
co_name,420,50
mail_address_line_1,470,40
mail_address_line_2,510,40
mail_address_city,550,24
mail_address_state_country,574,15
mail_address_zip_code,589,10
ceo_name,599,50
ceo_address_line_1,649,40
ceo_address_line_2,689,40
ceo_address_city,729,24
ceo_address_state_county,753,15
ceo_address_zip_code,768,10
agent_name,778,350
agent_address_line_1,1128,40
agent_address_line_2,1168,40
agent_address_city,1208,24
agent_address_state_county,1232,15
agent_address_zip_code,1247,10
state_or_foreign_country,1257,24
