column,start,length
file_number,0,12
file_date,12,8
status,20,1
filing_type,21,1
name,22,220
mailing_address,242,40
mailing_city,282,24
mailing_state,306,2
mailing_zip,308,10
calif_address,318,40
calif_city,358,24
calif_zip,382,10
original_file_number,492,20
original_file_date,412,8
jurisdiction,420,2
agent_name,422,65
agent_address_1,487,40
agent_address_2,527,40
agent_city,567,24
agent_state,591,2
agent_zip,593,10
term,603,20
number_gp_to_amend,623,2
number_amendments,625,3
total_pages,628,5
additional_gps,633,2
partner_1_name,635,140
partner_1_address,775,40
partner_1_city,815,24
partner_1_state,839,2
partner_1_zip,841,10
partner_2_name,851,140
partner_2_address,991,40
partner_2_city,1031,24
partner_2_state,1055,2
partner_2_zip,1057,10
jurisdiction,1067,2
llc_management_code,1069,1
llc_type_of_business,1070,40
future_use,1110,344
