column,start,length
SCHOOL ID (R-C-D-T-S),1,15
"SCHOOL TYPE CODE (0,1,2,C)",17,1
SCHOOL NAME,19,33
DISTRICT NAME,53,33
CITY,87,17
COUNTY,105,11
"DISTRICT TYPE CODE (0,1,2,9)",117,1
"DISTRICT SIZE CODE (1,2,...8,9)",119,1
DISTRICT TYPE NAME,121,11
DISTRICT SIZE NAME,133,6
SCHOOL TYPE NAME,140,11
GRADES IN SCHOOL,152,31
SCHOOL - WHITE %,184,5
SCHOOL - BLACK %,190,5
SCHOOL - HISPANIC %,196,5
SCHOOL - ASIAN %,202,5
SCHOOL - NATIVE AMERICAN %,208,5
SCHOOL - MULTIRACIAL/ETHNIC %,214,5
SCHOOL TOTAL ENROLLMENT,220,5
SUBREGION - WHITE %,226,5
SUBREGION - BLACK %,232,5
SUBREGION - HISPANIC %,238,5
SUBREGION - ASIAN %,244,5
SUBREGION - NATIVE AMERICAN %,250,5
SUBREGION - MULTIRACIAL/ETHNIC %,256,5
SUBREGION TOTAL ENROLLMENT,262,7
DISTRICT - WHITE %,270,5
DISTRICT - BLACK %,276,5
DISTRICT - HISPANIC %,282,5
DISTRICT - ASIAN %,288,5
DISTRICT - NATIVE AMERICAN %,294,5
DISTRICT - MULTIRACIAL/ETHNIC %,300,5
DISTRICT TOTAL ENROLLMENT,306,7
STATE - WHITE %,314,5
STATE - BLACK %,320,5
STATE - HISPANIC %,326,5
STATE - ASIAN %,332,5
STATE - NATIVE AMERICAN %,338,5
STATE - MULTIRACIAL/ETHNIC %,344,5
STATE TOTAL ENROLLMENT,350,9
L.E.P. SCHOOL %,360,5
L.E.P. SUBREGION %,366,5
L.E.P. DISTRICT %,372,5
L.E.P. STATE %,378,5
I.E.P. SCHOOL %,384,5
I.E.P. SUBREGION %,390,5
I.E.P. DISTRICT %,396,5
I.E.P. STATE %,402,5
LOW-INCOME SCHOOL %,408,5
LOW-INCOME SUBREGION %,414,5
LOW-INCOME DISTRICT %,420,5
LOW-INCOME STATE %,426,5
PARENTAL INVOLVEMENT SCHOOL %,432,5
PARENTAL INVOLVEMENT SUBREGION %,438,5
PARENTAL INVOLVEMENT DISTRICT %,444,5
PARENTAL INVOLVEMENT STATE %,450,5
ATTENDANCE RATE SCHOOL %,456,5
ATTENDANCE RATE SUBREGION %,462,5
ATTENDANCE RATE DISTRICT %,468,5
ATTENDANCE RATE STATE %,474,5
ATTENDANCE RATE SCHOOL %,480,5
ATTENDANCE RATE SUBREGION %,486,5
ATTENDANCE RATE DISTRICT %,492,5
ATTENDANCE RATE STATE %,498,5
ATTENDANCE RATE SCHOOL %,504,5
ATTENDANCE RATE SUBREGION %,510,5
ATTENDANCE RATE DISTRICT %,516,5
ATTENDANCE RATE STATE %,522,5
ATTENDANCE RATE SCHOOL %,528,5
ATTENDANCE RATE SUBREGION %,534,5
ATTENDANCE RATE DISTRICT %,540,5
ATTENDANCE RATE STATE %,546,5
ATTENDANCE RATE SCHOOL %,552,5
ATTENDANCE RATE SUBREGION %,558,5
ATTENDANCE RATE DISTRICT %,564,5
ATTENDANCE RATE STATE %,570,5
ATTENDANCE RATE SCHOOL %,576,5
ATTENDANCE RATE SUBREGION %,582,5
ATTENDANCE RATE DISTRICT %,588,5
ATTENDANCE RATE STATE %,594,5
ATTENDANCE RATE SCHOOL %,600,5
ATTENDANCE RATE SUBREGION %,606,5
ATTENDANCE RATE DISTRICT %,612,5
ATTENDANCE RATE STATE %,618,5
ATTENDANCE RATE SCHOOL %,624,5
ATTENDANCE RATE SUBREGION %,630,5
ATTENDANCE RATE DISTRICT %,636,5
ATTENDANCE RATE STATE %,642,5
ATTENDANCE RATE SCHOOL %,648,5
ATTENDANCE RATE SUBREGION %,654,5
ATTENDANCE RATE DISTRICT %,660,5
ATTENDANCE RATE STATE %,666,5
ATTENDANCE RATE SCHOOL %,672,5
ATTENDANCE RATE SUBREGION %,678,5
ATTENDANCE RATE DISTRICT %,684,5
ATTENDANCE RATE STATE %,690,5
ATTENDANCE RATE SCHOOL %,696,5
ATTENDANCE RATE SUBREGION %,702,5
ATTENDANCE RATE DISTRICT %,708,5
ATTENDANCE RATE STATE %,714,5
ATTENDANCE RATE SCHOOL %,720,5
ATTENDANCE RATE SUBREGION %,726,5
ATTENDANCE RATE DISTRICT %,732,5
ATTENDANCE RATE STATE %,738,5
ATTENDANCE RATE SCHOOL %,744,5
ATTENDANCE RATE SUBREGION %,750,5
ATTENDANCE RATE DISTRICT %,756,5
ATTENDANCE RATE STATE %,762,5
MOBILITY RATE SCHOOL %,768,5
MOBILITY RATE SUBREGION %,774,5
MOBILITY RATE DISTRICT %,780,5
MOBILITY RATE STATE %,786,5
CHRONIC TRUANTS # - SCHOOL,792,5
CHRONIC TRUANTS  #- SUBREGION,798,6
CHRONIC TRUANTS  #- DISTRICT,805,6
CHRONIC TRUANTS  #- STATE,812,6
CHRONIC TRUANTS RATE SCHOOL %,819,5
CHRONIC TRUANTS RATE SUBREGION %,825,5
CHRONIC TRUANTS RATE DISTRICT %,831,5
CHRONIC TRUANTS RATE STATE %,837,5
DROPOUT RATE  SCHOOL %,843,5
DROPOUT RATE SUBREGION %,849,5
DROPOUT RATE DISTRICT %,855,5
DROPOUT RATE STATE %,861,5
HS GRAD RATE SCHOOL %,867,5
HS GRAD RATE SUBREGION %,873,5
HS GRAD RATE DISTRICT %,879,5
HS GRAD RATE STATE %,885,5
HS GRAD RATE SCHOOL %,891,5
HS GRAD RATE SUBREGION %,897,5
HS GRAD RATE DISTRICT %,903,5
HS GRAD RATE STATE %,909,5
HS GRAD RATE SCHOOL %,915,5
HS GRAD RATE SUBREGION %,921,5
HS GRAD RATE DISTRICT %,927,5
HS GRAD RATE STATE %,933,5
HS GRAD RATE SCHOOL %,939,5
HS GRAD RATE SUBREGION %,945,5
HS GRAD RATE DISTRICT %,951,5
HS GRAD RATE STATE %,957,5
HS GRAD RATE SCHOOL %,963,5
HS GRAD RATE SUBREGION %,969,5
HS GRAD RATE DISTRICT %,975,5
HS GRAD RATE STATE %,981,5
HS GRAD RATE SCHOOL %,987,5
HS GRAD RATE SUBREGION %,993,5
HS GRAD RATE DISTRICT %,999,5
HS GRAD RATE STATE %,1005,5
HS GRAD RATE SCHOOL %,1011,5
HS GRAD RATE SUBREGION %,1017,5
HS GRAD RATE DISTRICT %,1023,5
HS GRAD RATE STATE %,1029,5
HS GRAD RATE SCHOOL %,1035,5
HS GRAD RATE SUBREGION %,1041,5
HS GRAD RATE DISTRICT %,1047,5
HS GRAD RATE STATE %,1053,5
HS GRAD RATE SCHOOL %,1059,5
HS GRAD RATE SUBREGION %,1065,5
HS GRAD RATE DISTRICT %,1071,5
HS GRAD RATE STATE %,1077,5
HS GRAD RATE SCHOOL %,1083,5
HS GRAD RATE SUBREGION %,1089,5
HS GRAD RATE DISTRICT %,1095,5
HS GRAD RATE STATE %,1101,5
HS GRAD RATE SCHOOL %,1107,5
HS GRAD RATE SUBREGION %,1113,5
HS GRAD RATE DISTRICT %,1119,5
HS GRAD RATE STATE %,1125,5
HS GRAD RATE SCHOOL %,1131,5
HS GRAD RATE SUBREGION %,1137,5
HS GRAD RATE DISTRICT %,1143,5
HS GRAD RATE STATE %,1149,5
HS GRAD RATE SCHOOL %,1155,5
HS GRAD RATE SUBREGION %,1161,5
HS GRAD RATE DISTRICT %,1167,5
HS GRAD RATE STATE %,1173,5
ACT COMP SCHOOL,1179,4
ACT COMP SUBREGION,1184,4
ACT COMP DISTRICT,1189,4
ACT COMP STATE,1194,4
ACT ENGL SCHOOL SCORE,1199,4
ACT ENGL SUBREGION,1204,4
ACT ENGL DISTRICT SCORE,1209,4
ACT ENGL STATE SCORE,1214,4
ACT MATH SCHOOL SCORE,1219,4
ACT MATH SUBREGION,1224,4
ACT MATH DISTRICT SCORE,1229,4
ACT MATH STATE SCORE,1234,4
ACT READ SCHOOL SCORE,1239,4
ACT READ SUBREGION,1244,4
ACT READ DISTRICT SCORE,1249,4
ACT READ STATE SCORE,1254,4
ACT SCIE SCHOOL SCORE,1259,4
ACT SCIE SUBREGION,1264,4
ACT SCIE DISTRICT SCORE,1269,4
ACT SCIE STATE SCORE,1274,4
AVG CLASS SIZE - SCHOOL (KG),1279,4
AVG CLASS SIZE - SUBREGION (KG),1284,4
AVG CLASS SIZE - DISTRICT (KG),1289,4
AVG CLASS SIZE - STATE (KG),1294,4
AVG CLASS SIZE - SCHOOL (GR1),1299,4
AVG CLASS SIZE - SUBREGION (GR1),1304,4
AVG CLASS SIZE - DISTRICT (GR1),1309,4
AVG CLASS SIZE - STATE (GR1),1314,4
AVG CLASS SIZE - SCHOOL (GR2),1319,4
AVG CLASS SIZE - SUBREGION (GR2),1324,4
AVG CLASS SIZE - DISTRICT (GR2),1329,4
AVG CLASS SIZE - STATE (GR2),1334,4
AVG CLASS SIZE - SCHOOL (GR3),1339,4
AVG CLASS SIZE - SUBREGION (GR3),1344,4
AVG CLASS SIZE - DISTRICT (GR3),1349,4
AVG CLASS SIZE - STATE (GR3),1354,4
AVG CLASS SIZE - SCHOOL (GR4),1359,4
AVG CLASS SIZE - SUBREGION (GR4),1364,4
AVG CLASS SIZE - DISTRICT (GR4),1369,4
AVG CLASS SIZE - STATE (GR4),1374,4
AVG CLASS SIZE - SCHOOL (GR5),1379,4
AVG CLASS SIZE - SUBREGION (GR5),1384,4
AVG CLASS SIZE - DISTRICT (GR5),1389,4
AVG CLASS SIZE - STATE (GR5),1394,4
AVG CLASS SIZE - SCHOOL (GR6),1399,4
AVG CLASS SIZE - SUBREGION (GR6),1404,4
AVG CLASS SIZE - DISTRICT (GR6),1409,4
AVG CLASS SIZE - STATE (GR6),1414,4
AVG CLASS SIZE - SCHOOL (GR7),1419,4
AVG CLASS SIZE - SUBREGION (GR7),1424,4
AVG CLASS SIZE - DISTRICT (GR7),1429,4
AVG CLASS SIZE - STATE (GR7),1434,4
AVG CLASS SIZE - SCHOOL (GR8),1439,4
AVG CLASS SIZE - SUBREGION (GR8),1444,4
AVG CLASS SIZE - DISTRICT (GR8),1449,4
AVG CLASS SIZE - STATE (GR8),1454,4
AVG CLASS SIZE - SCHOOL (H.S.),1459,4
AVG CLASS SIZE - SUBREGION (H.S.),1464,4
AVG CLASS SIZE - DISTRICT (H.S.),1469,4
AVG CLASS SIZE - STATE (H.S.),1474,4
MIN PER DAY MATH (GR3) SCHOOL,1479,3
MIN PER DAY MATH (GR3) SUBREGION,1483,3
MIN PER DAY MATH (GR3) DISTRICT,1487,3
MIN PER DAY MATH (GR3) STATE,1491,3
MIN PER DAY MATH (GR6) SCHOOL,1495,3
MIN PER DAY MATH (GR6) SUBREGION,1499,3
MIN PER DAY MATH (GR6) DISTRICT,1503,3
MIN PER DAY MATH (GR6) STATE,1507,3
MIN PER DAY MATH (GR8) SCHOOL,1511,3
MIN PER DAY MATH (GR8) SUBREGION,1515,3
