column,start,length
candidate_id,1,9
candidate_name,10,38
incumbent_challenger_open,48,1
party,49,1
party_designation,50,3
total_receipts,53,10
authorized_transfers_from,63,10
total_disbursements,73,10
transfers_to_authorized,83,10
beginning_cash,93,10
ending_cash,103,10
contributions_from_candidate,113,10
loans_from_candidate,123,10
other_loans,133,10
candidate_loan_repayments,143,10
other_loan_repayments,153,10
debts_owed_by,163,10
total_individual_contributions,173,10
state_code,183,2
district,185,2
special_election_status,187,1
primary_election_status,188,1
runoff_election_status,189,1
general_election_status,190,1
general_election_ct,191,3
contributions_from_other_committees,194,10
contributions_from_party_committees,204,9
ending_date,214,8
refunds_to_individuals,222,10
refunds_to_committees,232,10
