column,start,length
committee_id,1,9
committee_name,10,90
committee_type,100,1
committee_designation,101,1
filing_frequency,102,1
total_receipts,103,10
transfers_from_affiliates,113,10
individual_contributions,123,10
contributions_from_other_committees,133,10
contributions_from_candidate,143,10
candidate_loans,153,10
total_loans_received,163,10
total_disbursements,173,10
transfers_to_affiliates,183,10
refunds_to_individuals,193,10
refunds_to_committees,203,10
candidate_loan_repayments,213,10
loan_repayments,223,10
cash_beginning_of_year,233,10
cash_close_of_period,243,10
debts_owed,253,10
nonfederal_transfers_received,263,10
contributions_to_committees,273,10
independent_expenditures_made,283,10
party_coordinated_expenditures_made,293,10
nonfederal_expenditure_share,303,10
through_month,313,2
through_day,315,2
through_year,317,4
