column,start,length
ein,1,9
primary_name,10,70
in_care_of_name,80,35
street_address,115,35
city,150,22
state,172,2
zip_code,174,10
group_exemption_number,184,4
subsection_code,188,2
affiliation_code,190,1
classification_codes,191,4
ruling_date,195,6
deductibility_code,201,1
foundation_code,202,2
activity_codes,204,9
organization_code,213,1
exempt_status_code,214,2
filler,216,6
tax_period,222,6
asset_code,228,1
income_code,229,1
filing_requirement_code,230,2
pf_filing_requirement_code,232,1
filler2,233,3
accounting_period,236,2
asset_amount,238,13
income_amount,251,13
negative_income_flag,264,1
revenues_990,265,13
negative_revenues_990_flag,278,1
ntee_code,279,4
sort_name,283,35
