column,start,length
year,0,2
month_number,2,2
day_of_month,4,2
fractional_modified_julian_date,7,8
iers_or_prediction_flag_for_bulletin_a_polar_motion_values,16,1
bulletin_a_pm-x,18,9
error_in_pm-x,27,9
bulletin_a_pm-y,38,9
error_in_pm-y,47,9
iers_or_prediction_flag_for_bulletin_a_ut1-utc_values,57,1
bulletin_a_ut1-utc,58,10
error_in_ut1-utc,68,10
bulletin_a_lod,79,7
error_in_lod,86,7
iers_or_prediction_flag_for_bulletin_a_nutation_values,95,1
bulletin_a_dpsi,97,9
error_in_dpsi,106,9
bulletin_a_depsilon,116,9
error_in_depsilon,125,9
bulletin_b_pm-x,134,10
bulletin_b_pm-y,144,10
bulletin_b_ut1-utc,154,11
bulletin_b_dpsi,165,10
bulletin_b_depsilon,175,10
